"","hospno","oblevel","weighta","tothosp","births","weightats"
"1",15,1,10.5,42,480,10.5
"2",80,1,10.5,42,426,10.5
"3",86,1,10.5,42,342,10.5
"4",136,1,10.5,42,174,10.5
"5",7,2,19.8,99,2022,19.7999877929688
"6",26,2,19.8,99,576,19.7999877929688
"7",62,2,19.8,99,1999,19.7999877929688
"8",90,2,19.8,99,482,19.7999877929688
"9",101,2,19.8,99,836,19.7999877929688
"10",28,3,2.83333333333333,17,3108,2.83333206176758
"11",34,3,2.83333333333333,17,4674,2.83333206176758
"12",39,3,2.83333333333333,17,2539,2.83333206176758
"13",102,3,2.83333333333333,17,1610,2.83333206176758
"14",119,3,2.83333333333333,17,4618,2.83333206176758
"15",149,3,2.83333333333333,17,1781,2.83333206176758
